GO_ID	Group	Description	FDR	Enrichment
GO:0023051	prmt5_up	regulation of signaling	0.00219	1.14
GO:0033045	prmt5_up	regulation of sister chromatid segregation	0.00236	1.96
GO:0007346	prmt5_up	regulation of mitotic cell cycle	0.00243	1.34
GO:0009889	prmt5_up	regulation of biosynthetic process	0.00248	1.12
GO:0010556	prmt5_up	regulation of macromolecule biosynthetic process	0.00252	1.13
GO:0010646	prmt5_up	regulation of cell communication	0.00262	1.14
GO:0031123	prmt5_up	RNA 3'-end processing	0.00275	1.78
GO:0051272	prmt5_up	positive regulation of cellular component movement	0.00278	1.4
GO:0010975	prmt5_up	regulation of neuron projection development	0.00283	1.41
GO:0007051	prmt5_up	spindle organization	0.00284	1.72
GO:0048010	prmt5_up	vascular endothelial growth factor receptor signaling pathway	0.00292	2.11
GO:0010564	prmt5_up	regulation of cell cycle process	0.00335	1.3
GO:1902903	prmt5_up	regulation of supramolecular fiber organization	0.00337	1.46
GO:1903311	prmt5_up	regulation of mRNA metabolic process	0.00335	1.46
GO:0023056	prmt5_up	positive regulation of signaling	0.00366	1.21
GO:0071310	prmt5_up	cellular response to organic substance	0.00365	1.25
GO:0051716	prmt5_up	cellular response to stimulus	0.00368	1.15
GO:0050900	prmt5_up	leukocyte migration	0.0037200000000000002	1.66
GO:0010638	prmt5_up	positive regulation of organelle organization	0.00394	1.34
GO:0007052	prmt5_up	mitotic spindle organization	0.00425	1.92
GO:0033047	prmt5_up	regulation of mitotic sister chromatid segregation	0.00423	1.99
GO:0006935	prmt5_up	chemotaxis	0.00427	1.61
GO:0048646	prmt5_up	anatomical structure formation involved in morphogenesis	0.00469	1.35
GO:0043254	prmt5_up	regulation of protein complex assembly	0.00468	1.39
GO:0090304	prmt5_up	nucleic acid metabolic process	0.00471	1.15
GO:0010647	prmt5_up	positive regulation of cell communication	0.00482	1.2
GO:0043085	prmt5_up	positive regulation of catalytic activity	0.00479	1.23
GO:0032233	prmt5_up	positive regulation of actin filament bundle assembly	0.00479	2.2
GO:1905818	prmt5_up	regulation of chromosome separation	0.00485	2.03
GO:0042330	prmt5_up	taxis	0.00492	1.6
GO:0040017	prmt5_up	positive regulation of locomotion	0.00492	1.38
GO:0009967	prmt5_up	positive regulation of signal transduction	0.00499	1.21
GO:0001525	prmt5_up	angiogenesis	0.00499	1.57
GO:0034097	prmt5_up	response to cytokine	0.00506	1.39
GO:0030155	prmt5_up	regulation of cell adhesion	0.00556	1.34
GO:0031399	prmt5_up	regulation of protein modification process	0.00606	1.19
GO:0002009	prmt5_up	morphogenesis of an epithelium	0.00619	1.54
GO:0009966	prmt5_up	regulation of signal transduction	0.00631	1.14
GO:0051962	prmt5_up	positive regulation of nervous system development	0.00645	1.39
GO:0048771	prmt5_up	tissue remodeling	0.00658	2.15
GO:0071824	prmt5_up	protein-DNA complex subunit organization	0.00658	1.53
GO:0007179	prmt5_up	transforming growth factor beta receptor signaling pathway	0.00665	1.88
GO:0071103	prmt5_up	DNA conformation change	0.00676	1.63
GO:0048592	prmt5_up	eye morphogenesis	0.00698	2.46
GO:0010810	prmt5_up	regulation of cell-substrate adhesion	0.00716	1.59
GO:0098813	prmt5_up	nuclear chromosome segregation	0.00717	2.27
GO:0010965	prmt5_up	regulation of mitotic sister chromatid separation	0.00729	2.04
GO:0031109	prmt5_up	microtubule polymerization or depolymerization	0.00732	2.82
GO:0007059	prmt5_up	chromosome segregation	0.00757	1.78
GO:0042981	prmt5_up	regulation of apoptotic process	0.00754	1.21
GO:1902099	prmt5_up	regulation of metaphase/anaphase transition of cell cycle	0.00776	2.06
GO:0048511	prmt5_up	rhythmic process	0.00775	1.54
GO:0034728	prmt5_up	nucleosome organization	0.00845	1.64
GO:0006468	prmt5_up	protein phosphorylation	0.00877	1.27
GO:0045216	prmt5_up	cell-cell junction organization	0.00908	1.74
GO:0000070	prmt5_up	mitotic sister chromatid segregation	0.0103	2.46
GO:0051496	prmt5_up	positive regulation of stress fiber assembly	0.0102	2.22
GO:0043067	prmt5_up	regulation of programmed cell death	0.0102	1.2
GO:0000819	prmt5_up	sister chromatid segregation	0.0105	2.39
GO:0010769	prmt5_up	regulation of cell morphogenesis involved in differentiation	0.0105	1.47
GO:0010629	prmt5_up	negative regulation of gene expression	0.0111	1.17
GO:0032271	prmt5_up	regulation of protein polymerization	0.012	1.55
GO:0007015	prmt5_up	actin filament organization	0.0121	1.51
GO:0050769	prmt5_up	positive regulation of neurogenesis	0.0123	1.39
GO:0010720	prmt5_up	positive regulation of cell development	0.0123	1.36
GO:0010605	prmt5_up	negative regulation of macromolecule metabolic process	0.0123	1.14
GO:0045666	prmt5_up	positive regulation of neuron differentiation	0.0123	1.44
GO:0009611	prmt5_up	response to wounding	0.0125	1.63
GO:0009725	prmt5_up	response to hormone	0.013	1.33
GO:0000226	prmt5_up	microtubule cytoskeleton organization	0.0131	1.38
GO:0030036	prmt5_up	actin cytoskeleton organization	0.0137	1.44
GO:0071426	prmt5_up	ribonucleoprotein complex export from nucleus	0.0149	3.31
GO:0071428	prmt5_up	rRNA-containing ribonucleoprotein complex export from nucleus	0.0148	3.31
GO:0033750	prmt5_up	ribosome localization	0.0147	3.31
GO:0000054	prmt5_up	ribosomal subunit export from nucleus	0.0147	3.31
GO:0030071	prmt5_up	regulation of mitotic metaphase/anaphase transition	0.0146	2.01
GO:0043087	prmt5_up	regulation of GTPase activity	0.0151	1.36
GO:0010762	prmt5_up	regulation of fibroblast migration	0.015	2.39
GO:0021987	prmt5_up	cerebral cortex development	0.0158	2.03
GO:0042127	prmt5_up	regulation of cell proliferation	0.0157	1.2
GO:0065003	prmt5_up	protein-containing complex assembly	0.0167	1.2
GO:0008652	prmt5_up	cellular amino acid biosynthetic process	0.0177	1.96
GO:0032535	prmt5_up	regulation of cellular component size	0.0179	1.48
GO:0001932	prmt5_up	regulation of protein phosphorylation	0.0184	1.2
GO:0098609	prmt5_up	cell-cell adhesion	0.0189	1.4
GO:0043410	prmt5_up	positive regulation of MAPK cascade	0.019	1.36
GO:2001141	prmt5_up	regulation of RNA biosynthetic process	0.0191	1.12
GO:0009892	prmt5_up	negative regulation of metabolic process	0.0191	1.13
GO:0001649	prmt5_up	osteoblast differentiation	0.0193	1.85
GO:0022604	prmt5_up	regulation of cell morphogenesis	0.0195	1.35
GO:0006355	prmt5_up	regulation of transcription, DNA-templated	0.0201	1.12
GO:0030029	prmt5_up	actin filament-based process	0.0205	1.39
GO:0007088	prmt5_up	regulation of mitotic nuclear division	0.0206	1.58
GO:0006970	prmt5_up	response to osmotic stress	0.0205	2
GO:0016072	prmt5_up	rRNA metabolic process	0.0205	1.45
GO:0050896	prmt5_up	response to stimulus	0.0205	1.1
GO:1903506	prmt5_up	regulation of nucleic acid-templated transcription	0.0205	1.12
GO:0000380	prmt5_up	alternative mRNA splicing, via spliceosome	0.0204	2.98
GO:0006337	prmt5_up	nucleosome disassembly	0.0203	2.98
GO:0090596	prmt5_up	sensory organ morphogenesis	0.0204	2.2
GO:0000904	prmt5_up	cell morphogenesis involved in differentiation	0.0205	1.75
GO:0000469	prmt5_up	cleavage involved in rRNA processing	0.0206	2.48
GO:1902100	prmt5_up	negative regulation of metaphase/anaphase transition of cell cycle	0.0205	2.48
GO:0030199	prmt5_up	collagen fibril organization	0.0204	2.48
GO:0007229	prmt5_up	integrin-mediated signaling pathway	0.0204	1.86
GO:0048024	prmt5_up	regulation of mRNA splicing, via spliceosome	0.0206	1.78
GO:0034660	prmt5_up	ncRNA metabolic process	0.0208	1.3
GO:0009719	prmt5_up	response to endogenous stimulus	0.0209	1.24
GO:0010770	prmt5_up	positive regulation of cell morphogenesis involved in differentiation	0.021	1.63
GO:0043549	prmt5_up	regulation of kinase activity	0.0211	1.25
GO:1900024	prmt5_up	regulation of substrate adhesion-dependent cell spreading	0.0211	2.02
GO:0032291	prmt5_up	axon ensheathment in central nervous system	0.0213	4.77
GO:0022010	prmt5_up	central nervous system myelination	0.0212	4.77
GO:0050932	prmt5_up	regulation of pigment cell differentiation	0.0211	4.77
GO:0009887	prmt5_up	animal organ morphogenesis	0.0211	1.35
GO:0048731	prmt5_up	system development	0.0216	1.3
GO:0051383	prmt5_up	kinetochore organization	0.0243	2.76
GO:0030168	prmt5_up	platelet activation	0.0246	1.88
GO:0000055	prmt5_up	ribosomal large subunit export from nucleus	0.0249	4.09
GO:0060396	prmt5_up	growth hormone receptor signaling pathway	0.0248	4.09
GO:0033044	prmt5_up	regulation of chromosome organization	0.0257	1.37
GO:1903046	prmt5_up	meiotic cell cycle process	0.0263	1.63
GO:0051093	prmt5_up	negative regulation of developmental process	0.0263	1.25
GO:0048513	prmt5_up	animal organ development	0.0263	1.21
GO:0065004	prmt5_up	protein-DNA complex assembly	0.0271	1.5
GO:0051347	prmt5_up	positive regulation of transferase activity	0.0271	1.29
GO:0006520	prmt5_up	cellular amino acid metabolic process	0.0271	1.43
GO:0050684	prmt5_up	regulation of mRNA processing	0.0272	1.62
GO:0010941	prmt5_up	regulation of cell death	0.0281	1.18
GO:0009628	prmt5_up	response to abiotic stimulus	0.028	1.23
GO:0006396	prmt5_up	RNA processing	0.0284	1.2
GO:1901987	prmt5_up	regulation of cell cycle phase transition	0.0286	1.32
GO:0032273	prmt5_up	positive regulation of protein polymerization	0.0287	1.71
GO:0031577	prmt5_up	spindle checkpoint	0.0286	2.48
GO:0030198	prmt5_up	extracellular matrix organization	0.0288	1.46
GO:0051985	prmt5_up	negative regulation of chromosome segregation	0.0288	2.25
GO:0070527	prmt5_up	platelet aggregation	0.0287	2.25
GO:0071345	prmt5_up	cellular response to cytokine stimulus	0.0286	1.39
GO:0016310	prmt5_up	phosphorylation	0.029	1.21
GO:0033674	prmt5_up	positive regulation of kinase activity	0.0295	1.31
GO:0032392	prmt5_up	DNA geometric change	0.0304	1.65
GO:0060968	prmt5_up	regulation of gene silencing	0.0309	1.57
GO:0007163	prmt5_up	establishment or maintenance of cell polarity	0.0326	1.59
GO:0060341	prmt5_up	regulation of cellular localization	0.0329	1.23
GO:0034332	prmt5_up	adherens junction organization	0.0338	1.82
GO:0043065	prmt5_up	positive regulation of apoptotic process	0.0356	1.28
GO:0051129	prmt5_up	negative regulation of cellular component organization	0.0356	1.25
GO:0060326	prmt5_up	cell chemotaxis	0.0356	1.72
GO:1902531	prmt5_up	regulation of intracellular signal transduction	0.036	1.16
GO:0070507	prmt5_up	regulation of microtubule cytoskeleton organization	0.0366	1.51
GO:0045132	prmt5_up	meiotic chromosome segregation	0.0372	3.18
GO:0007019	prmt5_up	microtubule depolymerization	0.0371	3.18
GO:0008283	prmt5_up	cell proliferation	0.0371	1.36
GO:0043170	prmt5_up	macromolecule metabolic process	0.037	1.07
GO:0000387	prmt5_up	spliceosomal snRNP assembly	0.038	2.14
GO:0006611	prmt5_up	protein export from nucleus	0.0379	2.14
GO:0001763	prmt5_up	morphogenesis of a branching structure	0.038	1.65
GO:0045785	prmt5_up	positive regulation of cell adhesion	0.0391	1.38
GO:0006417	prmt5_up	regulation of translation	0.0397	1.35
GO:0006338	prmt5_up	chromatin remodeling	0.0398	1.51
GO:0071214	prmt5_up	cellular response to abiotic stimulus	0.0405	1.42
GO:0104004	prmt5_up	cellular response to environmental stimulus	0.0403	1.42
GO:0051345	prmt5_up	positive regulation of hydrolase activity	0.0403	1.25
GO:0051098	prmt5_up	regulation of binding	0.0412	1.36
GO:0060966	prmt5_up	regulation of gene silencing by RNA	0.0417	1.62
GO:0060147	prmt5_up	regulation of posttranscriptional gene silencing	0.0415	1.62
GO:1905819	prmt5_up	negative regulation of chromosome separation	0.0416	2.3
GO:0045841	prmt5_up	negative regulation of mitotic metaphase/anaphase transition	0.0416	2.39
GO:1901990	prmt5_up	regulation of mitotic cell cycle phase transition	0.0425	1.32
GO:0051338	prmt5_up	regulation of transferase activity	0.0436	1.21
GO:0050789	wdr77_up	regulation of biological process	4.74e-18	1.13
GO:0065007	wdr77_up	biological regulation	4.47e-18	1.12
GO:0050794	wdr77_up	regulation of cellular process	4.56e-17	1.14
GO:0007165	wdr77_up	signal transduction	8.05e-14	1.27
GO:0048522	wdr77_up	positive regulation of cellular process	1.34e-13	1.22
GO:0048518	wdr77_up	positive regulation of biological process	1.12e-13	1.2
GO:0009987	wdr77_up	cellular process	6.34e-13	1.07
GO:0048519	wdr77_up	negative regulation of biological process	5.55e-13	1.21
GO:0051128	wdr77_up	regulation of cellular component organization	5.37e-11	1.31
GO:0048523	wdr77_up	negative regulation of cellular process	5.22e-10	1.2
GO:0016043	wdr77_up	cellular component organization	2.46e-9	1.18
GO:0071840	wdr77_up	cellular component organization or biogenesis	3.18e-9	1.17
GO:0007167	wdr77_up	enzyme linked receptor protein signaling pathway	5.87e-9	1.6
GO:0050793	wdr77_up	regulation of developmental process	7.17e-9	1.29
GO:1903047	wdr77_up	mitotic cell cycle process	2e-8	1.56
GO:0006614	wdr77_up	SRP-dependent cotranslational protein targeting to membrane	2.86e-8	2.54
GO:0006613	wdr77_up	cotranslational protein targeting to membrane	3.25e-8	2.48
GO:0007155	wdr77_up	cell adhesion	3.19e-8	1.56
GO:0022610	wdr77_up	biological adhesion	7.02e-8	1.55
GO:0051239	wdr77_up	regulation of multicellular organismal process	9.48e-8	1.25
GO:0031325	wdr77_up	positive regulation of cellular metabolic process	2.71e-7	1.22
GO:0030334	wdr77_up	regulation of cell migration	3.93e-7	1.49
GO:0045047	wdr77_up	protein targeting to ER	4.15e-7	2.31
GO:0032268	wdr77_up	regulation of cellular protein metabolic process	4.29e-7	1.25
GO:0045595	wdr77_up	regulation of cell differentiation	5.25e-7	1.32
GO:0040012	wdr77_up	regulation of locomotion	5.4e-7	1.45
GO:0072599	wdr77_up	establishment of protein localization to endoplasmic reticulum	5.4e-7	2.27
GO:0051130	wdr77_up	positive regulation of cellular component organization	5.29e-7	1.37
GO:0009893	wdr77_up	positive regulation of metabolic process	5.11e-7	1.2
GO:2000145	wdr77_up	regulation of cell motility	4.97e-7	1.46
GO:0051493	wdr77_up	regulation of cytoskeleton organization	7.69e-7	1.58
GO:0010604	wdr77_up	positive regulation of macromolecule metabolic process	8.49e-7	1.21
GO:0051173	wdr77_up	positive regulation of nitrogen compound metabolic process	1.01e-6	1.21
GO:0032502	wdr77_up	developmental process	1.04e-6	1.17
GO:0033043	wdr77_up	regulation of organelle organization	1.06e-6	1.34
GO:0032270	wdr77_up	positive regulation of cellular protein metabolic process	1.11e-6	1.33
GO:0051270	wdr77_up	regulation of cellular component movement	1.1e-6	1.43
GO:0051246	wdr77_up	regulation of protein metabolic process	1.11e-6	1.23
GO:0007169	wdr77_up	transmembrane receptor protein tyrosine kinase signaling pathway	1.22e-6	1.6
GO:0035556	wdr77_up	intracellular signal transduction	1.35e-6	1.32
GO:0007166	wdr77_up	cell surface receptor signaling pathway	1.77e-6	1.28
GO:0009892	wdr77_up	negative regulation of metabolic process	2.05e-6	1.21
GO:0000184	wdr77_up	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	2.34e-6	2.15
GO:0048583	wdr77_up	regulation of response to stimulus	2.53e-6	1.18
GO:2000026	wdr77_up	regulation of multicellular organismal development	2.74e-6	1.28
GO:0070972	wdr77_up	protein localization to endoplasmic reticulum	4.27e-6	2.1
GO:0051247	wdr77_up	positive regulation of protein metabolic process	4.46e-6	1.3
GO:0070887	wdr77_up	cellular response to chemical stimulus	4.58e-6	1.31
GO:0097435	wdr77_up	supramolecular fiber organization	5.17e-6	1.62
GO:0010629	wdr77_up	negative regulation of gene expression	5.34e-6	1.27
GO:0006412	wdr77_up	translation	5.48e-6	1.86
GO:0010605	wdr77_up	negative regulation of macromolecule metabolic process	5.72e-6	1.21
GO:0071310	wdr77_up	cellular response to organic substance	5.63e-6	1.35
GO:0016032	wdr77_up	viral process	6.76e-6	1.43
GO:0044403	wdr77_up	symbiont process	6.64e-6	1.43
GO:0051301	wdr77_up	cell division	8.33e-6	1.59
GO:0043043	wdr77_up	peptide biosynthetic process	9.68e-6	1.81
GO:0044419	wdr77_up	interspecies interaction between organisms	9.54e-6	1.39
GO:0051704	wdr77_up	multi-organism process	1.09e-5	1.32
GO:0050790	wdr77_up	regulation of catalytic activity	1.12e-5	1.23
GO:0019083	wdr77_up	viral transcription	1.11e-5	2.08
GO:0051093	wdr77_up	negative regulation of developmental process	1.11e-5	1.41
GO:0008150	wdr77_up	biological_process	1.64e-5	1.02
GO:1902850	wdr77_up	microtubule cytoskeleton organization involved in mitosis	1.92e-5	2.12
GO:0009966	wdr77_up	regulation of signal transduction	1.92e-5	1.2
GO:0031324	wdr77_up	negative regulation of cellular metabolic process	2.02e-5	1.21
GO:0042221	wdr77_up	response to chemical	2.68e-5	1.22
GO:0065008	wdr77_up	regulation of biological quality	2.65e-5	1.18
GO:0007010	wdr77_up	cytoskeleton organization	2.83e-5	1.38
GO:0023051	wdr77_up	regulation of signaling	3.15e-5	1.18
GO:0016477	wdr77_up	cell migration	3.49e-5	1.43
GO:0051241	wdr77_up	negative regulation of multicellular organismal process	3.78e-5	1.35
GO:0032879	wdr77_up	regulation of localization	3.73e-5	1.21
GO:0010646	wdr77_up	regulation of cell communication	3.78e-5	1.18
GO:0022402	wdr77_up	cell cycle process	3.82e-5	1.34
GO:0051172	wdr77_up	negative regulation of nitrogen compound metabolic process	4.43e-5	1.21
GO:0048870	wdr77_up	cell motility	4.56e-5	1.4
GO:0002376	wdr77_up	immune system process	4.67e-5	1.26
GO:0010033	wdr77_up	response to organic substance	5.68e-5	1.24
GO:0019222	wdr77_up	regulation of metabolic process	5.84e-5	1.11
GO:0006928	wdr77_up	movement of cell or subcellular component	6.76e-5	1.31
GO:0022603	wdr77_up	regulation of anatomical structure morphogenesis	7.82e-5	1.34
GO:0060255	wdr77_up	regulation of macromolecule metabolic process	8.16e-5	1.11
GO:0045597	wdr77_up	positive regulation of cell differentiation	1.06e-4	1.36
GO:0032956	wdr77_up	regulation of actin cytoskeleton organization	1.18e-4	1.6
GO:1902531	wdr77_up	regulation of intracellular signal transduction	1.23e-4	1.24
GO:0048856	wdr77_up	anatomical structure development	1.23e-4	1.18
GO:0031327	wdr77_up	negative regulation of cellular biosynthetic process	1.4e-4	1.26
GO:0030335	wdr77_up	positive regulation of cell migration	1.4e-4	1.5
GO:0045596	wdr77_up	negative regulation of cell differentiation	1.41e-4	1.43
GO:0048585	wdr77_up	negative regulation of response to stimulus	1.4e-4	1.26
GO:0006413	wdr77_up	translational initiation	1.39e-4	1.9
GO:0065009	wdr77_up	regulation of molecular function	1.49e-4	1.18
GO:0032970	wdr77_up	regulation of actin filament-based process	1.72e-4	1.56
GO:0007059	wdr77_up	chromosome segregation	1.74e-4	2.02
GO:0051094	wdr77_up	positive regulation of developmental process	1.98e-4	1.29
GO:0040011	wdr77_up	locomotion	2.05e-4	1.35
GO:0042127	wdr77_up	regulation of cell proliferation	2.03e-4	1.27
GO:0009890	wdr77_up	negative regulation of biosynthetic process	2.02e-4	1.25
GO:0031323	wdr77_up	regulation of cellular metabolic process	2.06e-4	1.11
GO:0006518	wdr77_up	peptide metabolic process	2.09e-4	1.56
GO:0045664	wdr77_up	regulation of neuron differentiation	2.08e-4	1.43
GO:0071495	wdr77_up	cellular response to endogenous stimulus	2.07e-4	1.41
GO:0016071	wdr77_up	mRNA metabolic process	2.13e-4	1.38
GO:0010638	wdr77_up	positive regulation of organelle organization	2.3e-4	1.41
GO:0070527	wdr77_up	platelet aggregation	2.29e-4	2.8
GO:0072594	wdr77_up	establishment of protein localization to organelle	2.33e-4	1.49
GO:0110053	wdr77_up	regulation of actin filament organization	2.32e-4	1.66
GO:0007229	wdr77_up	integrin-mediated signaling pathway	2.79e-4	2.21
GO:0050900	wdr77_up	leukocyte migration	2.77e-4	1.78
GO:2000147	wdr77_up	positive regulation of cell motility	2.76e-4	1.47
GO:0031344	wdr77_up	regulation of cell projection organization	2.74e-4	1.4
GO:0060284	wdr77_up	regulation of cell development	3.58e-4	1.35
GO:0007051	wdr77_up	spindle organization	3.7e-4	1.84
GO:0040017	wdr77_up	positive regulation of locomotion	3.71e-4	1.45
GO:0120035	wdr77_up	regulation of plasma membrane bounded cell projection organization	3.82e-4	1.4
GO:0010558	wdr77_up	negative regulation of macromolecule biosynthetic process	3.95e-4	1.25
GO:0051272	wdr77_up	positive regulation of cellular component movement	4.08e-4	1.45
GO:0007411	wdr77_up	axon guidance	4.29e-4	1.68
GO:2000113	wdr77_up	negative regulation of cellular macromolecule biosynthetic process	4.36e-4	1.25
GO:0050896	wdr77_up	response to stimulus	4.54e-4	1.13
GO:0051336	wdr77_up	regulation of hydrolase activity	4.55e-4	1.28
GO:0034330	wdr77_up	cell junction organization	4.76e-4	1.72
GO:0006402	wdr77_up	mRNA catabolic process	4.76e-4	1.66
GO:0097485	wdr77_up	neuron projection guidance	5.01e-4	1.67
GO:0051495	wdr77_up	positive regulation of cytoskeleton organization	5.44e-4	1.74
GO:0043085	wdr77_up	positive regulation of catalytic activity	5.53e-4	1.26
GO:0007179	wdr77_up	transforming growth factor beta receptor signaling pathway	5.57e-4	2.04
GO:0007015	wdr77_up	actin filament organization	5.96e-4	1.64
GO:0051240	wdr77_up	positive regulation of multicellular organismal process	5.97e-4	1.25
GO:0000956	wdr77_up	nuclear-transcribed mRNA catabolic process	7.09e-4	1.67
GO:0032870	wdr77_up	cellular response to hormone stimulus	7.05e-4	1.57
GO:0032271	wdr77_up	regulation of protein polymerization	7.37e-4	1.69
GO:0097190	wdr77_up	apoptotic signaling pathway	7.39e-4	1.62
GO:0045785	wdr77_up	positive regulation of cell adhesion	7.68e-4	1.53
GO:1902532	wdr77_up	negative regulation of intracellular signal transduction	8.02e-4	1.42
GO:0009719	wdr77_up	response to endogenous stimulus	8.15e-4	1.31
GO:0044772	wdr77_up	mitotic cell cycle phase transition	8.8e-4	1.57
GO:0051171	wdr77_up	regulation of nitrogen compound metabolic process	0.00105	1.1
GO:0009968	wdr77_up	negative regulation of signal transduction	0.00112	1.26
GO:0072657	wdr77_up	protein localization to membrane	0.00113	1.42
GO:0006612	wdr77_up	protein targeting to membrane	0.00114	1.74
GO:0010965	wdr77_up	regulation of mitotic sister chromatid separation	0.00116	2.18
GO:0007178	wdr77_up	transmembrane receptor protein serine/threonine kinase signaling pathway	0.00116	1.78
GO:0034248	wdr77_up	regulation of cellular amide metabolic process	0.0012	1.44
GO:0051716	wdr77_up	cellular response to stimulus	0.00133	1.16
GO:0043254	wdr77_up	regulation of protein complex assembly	0.00137	1.43
GO:0044770	wdr77_up	cell cycle phase transition	0.00142	1.55
GO:0080090	wdr77_up	regulation of primary metabolic process	0.00155	1.1
GO:0009059	wdr77_up	macromolecule biosynthetic process	0.00155	1.25
GO:0010562	wdr77_up	positive regulation of phosphorus metabolic process	0.00165	1.29
GO:0045937	wdr77_up	positive regulation of phosphate metabolic process	0.00164	1.29
GO:1902905	wdr77_up	positive regulation of supramolecular fiber organization	0.00166	1.72
GO:0072332	wdr77_up	intrinsic apoptotic signaling pathway by p53 class mediator	0.00175	2.38
GO:0010628	wdr77_up	positive regulation of gene expression	0.0018600000000000001	1.19
GO:0010975	wdr77_up	regulation of neuron projection development	0.00189	1.43
GO:0048869	wdr77_up	cellular developmental process	0.00191	1.18
GO:0006417	wdr77_up	regulation of translation	0.00191	1.47
GO:0034332	wdr77_up	adherens junction organization	0.00206	2.09
GO:0042771	wdr77_up	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.00223	2.85
GO:0007052	wdr77_up	mitotic spindle organization	0.00226	2
GO:0048010	wdr77_up	vascular endothelial growth factor receptor signaling pathway	0.00228	2.14
GO:0030155	wdr77_up	regulation of cell adhesion	0.00237	1.37
GO:0030071	wdr77_up	regulation of mitotic metaphase/anaphase transition	0.00237	2.17
GO:0042981	wdr77_up	regulation of apoptotic process	0.00255	1.23
GO:0006401	wdr77_up	RNA catabolic process	0.00262	1.56
GO:0000278	wdr77_up	mitotic cell cycle	0.00265	1.77
GO:2000816	wdr77_up	negative regulation of mitotic sister chromatid separation	0.00266	2.72
GO:0043067	wdr77_up	regulation of programmed cell death	0.00268	1.23
GO:0032269	wdr77_up	negative regulation of cellular protein metabolic process	0.00267	1.28
GO:0010468	wdr77_up	regulation of gene expression	0.0028	1.11
GO:0044089	wdr77_up	positive regulation of cellular component biogenesis	0.00279	1.39
GO:0050767	wdr77_up	regulation of neurogenesis	0.00283	1.33
GO:0048013	wdr77_up	ephrin receptor signaling pathway	0.00313	1.99
GO:0051641	wdr77_up	cellular localization	0.00312	1.17
GO:0097193	wdr77_up	intrinsic apoptotic signaling pathway	0.0031	1.73
GO:0031401	wdr77_up	positive regulation of protein modification process	0.00309	1.26
GO:0009725	wdr77_up	response to hormone	0.00314	1.37
GO:0034645	wdr77_up	cellular macromolecule biosynthetic process	0.00313	1.27
GO:1902099	wdr77_up	regulation of metaphase/anaphase transition of cell cycle	0.00313	2.13
GO:1901564	wdr77_up	organonitrogen compound metabolic process	0.00317	1.1
GO:1901566	wdr77_up	organonitrogen compound biosynthetic process	0.00315	1.28
GO:0042327	wdr77_up	positive regulation of phosphorylation	0.00316	1.29
GO:0032233	wdr77_up	positive regulation of actin filament bundle assembly	0.00347	2.23
GO:0034109	wdr77_up	homotypic cell-cell adhesion	0.00353	2.32
GO:0031334	wdr77_up	positive regulation of protein complex assembly	0.00361	1.55
GO:0045841	wdr77_up	negative regulation of mitotic metaphase/anaphase transition	0.00364	2.74
GO:0061024	wdr77_up	membrane organization	0.00379	1.32
GO:0042325	wdr77_up	regulation of phosphorylation	0.00381	1.22
GO:0031399	wdr77_up	regulation of protein modification process	0.00393	1.2
GO:0051253	wdr77_up	negative regulation of RNA metabolic process	0.00398	1.22
GO:0045936	wdr77_up	negative regulation of phosphate metabolic process	0.00415	1.36
GO:1905819	wdr77_up	negative regulation of chromosome separation	0.00416	2.63
GO:0051179	wdr77_up	localization	0.00426	1.11
GO:0045862	wdr77_up	positive regulation of proteolysis	0.0044	1.46
GO:0010563	wdr77_up	negative regulation of phosphorus metabolic process	0.00454	1.36
GO:0033046	wdr77_up	negative regulation of sister chromatid segregation	0.00454	2.53
GO:0000226	wdr77_up	microtubule cytoskeleton organization	0.0046	1.42
GO:0007088	wdr77_up	regulation of mitotic nuclear division	0.00476	1.66
GO:1905818	wdr77_up	regulation of chromosome separation	0.00487	2.02
GO:1902903	wdr77_up	regulation of supramolecular fiber organization	0.00485	1.46
GO:0010632	wdr77_up	regulation of epithelial cell migration	0.00488	1.58
GO:0051983	wdr77_up	regulation of chromosome segregation	0.00512	1.81
GO:0006520	wdr77_up	cellular amino acid metabolic process	0.0052	1.51
GO:0001775	wdr77_up	cell activation	0.00522	1.29
GO:0048513	wdr77_up	animal organ development	0.00526	1.24
GO:0030154	wdr77_up	cell differentiation	0.0053	1.2
GO:0051271	wdr77_up	negative regulation of cellular component movement	0.00528	1.53
GO:0051960	wdr77_up	regulation of nervous system development	0.00533	1.29
GO:0051338	wdr77_up	regulation of transferase activity	0.00537	1.26
GO:0034655	wdr77_up	nucleobase-containing compound catabolic process	0.00553	1.4
GO:0016310	wdr77_up	phosphorylation	0.00555	1.24
GO:0033047	wdr77_up	regulation of mitotic sister chromatid segregation	0.00574	1.97
GO:1902100	wdr77_up	negative regulation of metaphase/anaphase transition of cell cycle	0.00577	2.64
GO:0090150	wdr77_up	establishment of protein localization to membrane	0.00585	1.49
GO:0045892	wdr77_up	negative regulation of transcription, DNA-templated	0.00589	1.23
GO:0043549	wdr77_up	regulation of kinase activity	0.0064	1.28
GO:1902679	wdr77_up	negative regulation of RNA biosynthetic process	0.00672	1.22
GO:1903507	wdr77_up	negative regulation of nucleic acid-templated transcription	0.00669	1.22
